,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
107,63.0,"map, mapping, interactive, geospatial, cricket, slider, terrain, illustrate, aerial, primarily",83.0,0.0099
108,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",84.0,0.01
109,0.0,"live, mapping, show, screen, webcam, future, race, big, cam, net",57.0,0.0068
110,23.0,"language, translation, learn, translate, bing, speak, original, detect, translator, native",21.0,0.0025
111,8.0,"messaging, chat, client, message, support, bot, room, presence, buddy, real_time",53.0,0.0063
112,19.0,"recommendation, similar, find, discover, beer, recommend, power, love, enjoy, personalized",23.0,0.0027
113,166.0,"interface, provide, simple, associate, api, intuitive, clean, faster, user_friendly, agendize",93.0,0.0111
114,94.0,"city, mapping, mashup, town, scene, find, test, tribe, awareness, interact",15.0,0.0018
115,42.0,"home, property, rental, sale, neighborhood, mapping, apartment, real_estate, housing, rent",18.0,0.0022
116,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",18.0,0.0022
117,46.0,"art, print, design, create, wine, card, graphic, customization, demand, winery",28.0,0.0033
118,28.0,"education, school, student, college, class, age, parent, family, campus, child",22.0,0.0026
119,84.0,"auction, drive, distance, calculate, fetch, ebay_auction, ecommerce_auction, bid, origin, taxi",28.0,0.0033
120,177.0,"restaurant, food, bar, order, venue, review, pub, menu, recipe, nearby",51.0,0.0061
121,17.0,"visualization, chart, graph, visualize, interactive, represent, timeline, visually, bubble, scatter",29.0,0.0035
122,61.0,"video, watch, related, watch_videos, generate, videosurf, find, dance, full, funny",35.0,0.0042
123,128.0,"business, company, enterprise, small, directory, appointment, corporate, reference, sized, found",10.0,0.0012
124,57.0,"search, rich, start, dynamic, vast, personalise, subset, broad, interactive, single_page",32.0,0.0038
125,53.0,"review, rating, rank, popularity, ranking, rate, distribution, user_generated, power, recommendation",51.0,0.0061
126,72.0,"good, find, combine, great, experience, minute, alternative, assistant, dedicate, organize",33.0,0.0039
127,28.0,"education, school, student, college, class, age, parent, family, campus, child",19.0,0.0023
128,108.0,"government, vote, financial, campaign, candidate, poll, political, contribution, organization, election",46.0,0.0055
129,130.0,"auto, classified, sale, ecommerce, car, vehicle, auction, insurance, gear, classified_ad",47.0,0.0056
130,22.0,"event, ticket, concert, calendar, venue, eventful, entertainment, live, purchase, seatwave",81.0,0.0097
131,54.0,"music, artist, listen, audio, album, band, song, genre, myspace, musical",36.0,0.0043
132,122.0,"date, match, single, time, speed, minute, base, secure, option, nice",14.0,0.0017
133,172.0,"file, storage, cloud, upload, store, download, share, file_share, document, folder",28.0,0.0033
134,17.0,"visualization, chart, graph, visualize, interactive, represent, timeline, visually, bubble, scatter",42.0,0.005
135,146.0,"document, sign, docusign, electronic_signature, send, directly, contract, pdf, esignature, electronically",46.0,0.0055
136,107.0,"weather, current, forecast, condition, detailed, prediction, predict, wind, weather_forecast, storm",65.0,0.0078
137,52.0,"email, contact, send, mail, gmail, calendar, outlook, attachment, mailchimp, address",31.0,0.0037
138,50.0,"browser, base, plugin, make, desktop, plug, important, library, extension, modern",19.0,0.0023
139,109.0,"guide, travel, mapping, tour, virtual, visit, activity, thousand, boat, operator",19.0,0.0023
140,91.0,"shipping, service, package, mail, ship, delivery, order, internet, rate, tracking",15.0,0.0018
141,163.0,"traffic, report, base, highlight, transportation, earthquake, issue, incident, road, highway",9.0,0.0011
142,62.0,"map, mapping, addition, post, account, kill, hall, tweepsearch, microsoft_virtual, tiny",18.0,0.0022
143,24.0,"photo, flickr, image, upload, describe, launch, interestingness, interesting, exploration, paragraph",49.0,0.0059
144,193.0,"product, ecommerce, review, merchant, brand, catalog, million, price, retailer, shopping",15.0,0.0018
145,23.0,"language, translation, learn, translate, bing, speak, original, detect, translator, native",17.0,0.002
146,85.0,"listing, search, craigslist, category, comprehensive, property, narrow, collection, provide, flag",80.0,0.0096
147,135.0,"place, people, meet, thing, area, put, matter, beach, important, magazine",14.0,0.0017
148,152.0,"travel, hotel, booking, holiday, reservation, attraction, room, accommodation, worldwide, destination",37.0,0.0044
149,66.0,"find, quickly, easily, close, lot, cheap, easy_way, day, extremely, intelligent",26.0,0.0031
150,162.0,"travel, plan, trip, destination, tourism, traveler, planning, itinerary, greek, experience",62.0,0.0074
151,190.0,"messaging, email, late, back, keyword, mobile_messaging, follow, mobile, obtain, change",25.0,0.003
152,94.0,"city, mapping, mashup, town, scene, find, test, tribe, awareness, interact",134.0,0.016
153,22.0,"event, ticket, concert, calendar, venue, eventful, entertainment, live, purchase, seatwave",16.0,0.0019
